AIGC: {"Label":"1","ContentProducer":"001191110108MA01KP2T5U00000","ProduceID":"0d89f2fbfd19cdcf6ddbfc65fb7c6bb3","ReservedCode1":"","ContentPropagator":"001191110108MA01KP2T5U00000","PropagateID":"0d89f2fbfd19cdcf6ddbfc65fb7c6bb3","ReservedCode2":""}

序号,文章标题,URL
1,"暗访团播招工：零舞蹈基础、高违约金、未成年也招",https://mp.weixin.qq.com/s/d5wkGj47yL_ad90_WvtV1g
2,"《淮水竹亭》高热收官，东方幻想新标杆照见长剧内容价值",https://mp.weixin.qq.com/s/LCeAeqk4vnvs4DYn1o5asg
3,"卖药动用名嘴、做综艺到*ST，电视台2025机遇与挑战",https://mp.weixin.qq.com/s/H1eN2fV-TnlkaV9dQ20ZeA
4,"《哪吒2》仍在映，王长田三兄妹计划套现5.38亿五年共减持四次",https://mp.weixin.qq.com/s/Rh2dlny8M-SgcXc_qzoWDw
5,"行业洗牌进行时，斗鱼找到增长风向标｜财报解析",https://mp.weixin.qq.com/s/FVI4nFe3H3_Lh9bWkdoBLw
6,"从虚拟到现实：北京环球影城如何用‘IP五感之旅’征服Z世代？",https://mp.weixin.qq.com/s/mWwehFYY3Nc_XsNkuwKvNA
7,"2025技术升级，积压剧终“回魂”",https://mp.weixin.qq.com/s/3kGICCchOiqPU80QzCb9OA
8,"自有+授权双轮，52TOYS冲击IPO的“三级跳”密码",https://mp.weixin.qq.com/s/PZj2GEyY8ppF69PEUPKq3g
9,"明星追热点真题解题指南：袁姗姗满分，范丞丞负分",https://mp.weixin.qq.com/s/Nfk4bjiR457ByktrTrp3eg
10,"《桃花坞》五周年，用时间换真心，用真心换回音",https://mp.weixin.qq.com/s/ghzxoIhEX_PTdMAleMhnbg
11,"2025内容型游戏如何创新？精品化是唯一解药",https://mp.weixin.qq.com/s/PPFs3WClBZe7S9v8yqaLuw
12,"虎鲸文娱“重新创业”，以AI为锚，合作共生｜专访优酷COO吴倩",https://mp.weixin.qq.com/s/xC5FHCPEQ6WaAe9vZZVKRg
13,"从车神到千王，男频题材微创新+掉马套路屡试不爽 |本周短剧红榜",https://mp.weixin.qq.com/s/8fm1mR9-dvmIOXbR85wv4w
14,"短剧江湖资本地图： 九州17家、点众10家，其余各自抱团",https://mp.weixin.qq.com/s/1aNOWOLO8ZKzs4T2v3Ud1g
15,"抖音红果携手成立短剧版权中心，短剧精耕细作期加速到来",https://mp.weixin.qq.com/s/1qHJuuZfFrktE-Q9FI-uYA
16,"心声本靠错位喜剧创新，九层宝塔开启短剧系列化开发新可能|本周短剧红榜",https://mp.weixin.qq.com/s/58Oh5xUjyy5CcgIkDppr-Q
17,"综艺不能没有时代少年团",https://mp.weixin.qq.com/s/XJG9zHNV1EnzczQhX6HKvA
18,"TME成SM娱乐股东，盘一盘TME的“音乐+”产业布局",https://mp.weixin.qq.com/s/36eSYPUdlidtcp0EQZHnXA
19,"微综艺千千万，不及YouTuber赚的一半",https://mp.weixin.qq.com/s/tk23tko48oZB5bVkTJdpKA
20,"直播间里的港星，靠“活人感”封神",https://mp.weixin.qq.com/s/6X93BgmZ8KujjjGJQ4AjSg
21,"从陈奕迅女儿到黄多多：星二代上舞台不如带货？",https://mp.weixin.qq.com/s/VGSEjsGc12tK2t8Tr13rCA
22,"二次元加盟成红海：150万起步、25万装修、70%退货保障",https://mp.weixin.qq.com/s/1_cpSi2m8HffW82U5PM_mw
23,"中国影视产业重心已彻底南移！",https://mp.weixin.qq.com/s/W8SF0rSlj2eqEWpLVHvXvw
24,"稀缺感即价值感，《在人间》为何成了品牌理想之选？",https://mp.weixin.qq.com/s/ukQTzA21FYOZmOad1GdmPg
25,"直击编剧由长转短：一部十万、经常骗稿、回款就是尊重",https://mp.weixin.qq.com/s/jILZjA8loBiidCF0rPc1Kg
26,"六一档“遗憾”复盘：票房小爆，但谷子不行",https://mp.weixin.qq.com/s/BORIDBFsKR3Unsva7k8ikw
27,"迪士尼怒告YouTube挖高管！内容与人才成流媒体核心战场",https://mp.weixin.qq.com/s/CpqEL16u_BrqHKwa-3XACA
28,"10元门票炒到900元，苏超比淄博还火",https://mp.weixin.qq.com/s/NTZRFvJ6aOPaM5O9omXeag
29,"B站申请AR试妆专利，百度想翻译宠物语言 ｜5月互联网专利盘点",https://mp.weixin.qq.com/s/uxB6q_rk5fYBu7Mbbd8RJg
30,"TME介入后，韩娱四巨头何去何从？",https://mp.weixin.qq.com/s/_Nl9Pc7DlXP_7Uhy5qam7A
31,"民俗志怪主攻恐怖氛围，空间+流放突出公路片质感|本周短剧红榜",https://mp.weixin.qq.com/s/oz32dhWrRzBxo295bkqUZw
32,"50 个二次元品牌评级：大厂下沉&新品牌难产，撑起千亿市场",https://mp.weixin.qq.com/s/1N_acsOeSdXqwZxoCJxg3g
33,"伦敦门店斗殴、贝克汉姆带货：Labubu的“九颗牙”如何咬住全球市场？",https://mp.weixin.qq.com/s/_3VLdanPTV-Fb3t-nUPEWw
34,"偷试卷剧情、捞金600万，蹭高考短剧被下架",https://mp.weixin.qq.com/s/ZFAiLHCf-KeUNGFJfBGgcw
35,"文娱五月天|小娱月报",https://mp.weixin.qq.com/s/VXFAHotci5MF5pkei06zAg
36,"港剧有望登上卫视黄金档！TVB进军内地市场更进一步",https://mp.weixin.qq.com/s/ZaGUPTcuJPuB3UezPKVTPA
37,"泡泡玛特销售不敌叠纸？暖暖携手X11要为内容IP正名",https://mp.weixin.qq.com/s/oKXIjGjbIEq5bx-cem07mg
38,"李柯以晋升短剧一姐，听花岛从爆款制造机到演员升咖机",https://mp.weixin.qq.com/s/7Xzi5iVWdKzbarFGKlwKCQ
39,"姜广涛：风暴后，配音是唯一坐标丨专访",https://mp.weixin.qq.com/s/75dsF_mP47mKiINvpkaWWQ
