序号,文章标题,URL
1,平台战争主导“秋一杯”：第六年，狂欢与混乱并存,https://mp.weixin.qq.com/s/4W9kTivotuN0oUzaBw5kmA
2,点外卖送周杰伦演唱会门票？美团会员这波“氪金打榜”杀疯了,https://mp.weixin.qq.com/s/ZygR2Z7vW5tIxUtir4X0Cg
3,茶百道北美首店；喜茶入驻饿了么；蜜雪冰城再现食安风波|茶饮食品圈一周大事件,https://mp.weixin.qq.com/s/YcjaQ_x0Ht2_bBV1q2YCkw
4,得力“超级文具节”引爆IP联名，国民品牌如何“哪吒式”破圈年轻化,https://mp.weixin.qq.com/s/7fHr7uR8T5xsv9JlZJIvWA
5,"毛戈平或将跨入""50亿俱乐部""；屈臣氏中国门店数跌至7年最低；胡润首发中国彩妆品牌Top50丨美妆圈一周大事件",https://mp.weixin.qq.com/s/N7vjgi0mxA3cZRwQAxpGfA
6,Nike起诉陈冠希；Crocs第二季度亏损近5亿美元；迪卡侬中国拟售30%股权|运动服饰圈一周大事件,https://mp.weixin.qq.com/s/6Ie_2iEPfv2mRmUhpGjRyw
7,阿玛尼官宣白鹿；梁朝伟代言斯凯奇；珀莱雅携手宋佳｜一周代言人盘点,https://mp.weixin.qq.com/s/D1rxhJ01g0xxMJnrgcLV2Q
8,苹果Vision Pro卖不动，vivo Vision如何避免重蹈覆辙？,https://mp.weixin.qq.com/s/_igRXaE1Ug9KTAtLFcV4mw
9,叮咚买菜啃“无抗鱼”硬骨头：吊水鱼、四仓合一、给鱼发“身份证”？,https://mp.weixin.qq.com/s/LTlu0DwIlQQ16k-GLFWdPQ
10,瑞幸联名艾丝乐小兔；沪上阿姨携手锦月如歌；汉堡王×火影忍者上线全国门店|一周IP联名盘点,https://mp.weixin.qq.com/s/dUCzNflkryTgpJpOLyIqiA
11,即时零售正在“反常识增长”：对话美妆、服饰、潮玩领域3位入局者,https://mp.weixin.qq.com/s/W9OCEybxYAIClgq89r9PwA
